trial_num,periodic,chosen_IOI,has_high_intensity,high_intensity_index,percentage_increase,intervals
0,False,,True,11,0.6455811067296965,"[0.359, 0.217, 0.355, 0.2, 0.202, 0.355, 0.301, 0.282, 0.235, 0.163, 0.136, 0.221, 0.185, 0.348]"
1,True,0.25,True,13,0.6517155042989046,"[0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25]"
2,False,,True,11,0.6697378161980422,"[0.234, 0.3, 0.17, 0.277, 0.325, 0.322, 0.163, 0.206, 0.215, 0.192, 0.21, 0.163, 0.33, 0.151]"
3,False,,False,,,"[0.108, 0.34, 0.172, 0.179, 0.144, 0.32, 0.332, 0.325, 0.272, 0.19, 0.102, 0.175, 0.281, 0.156]"
4,True,0.2,False,,,"[0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]"
5,True,0.25,False,,,"[0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25]"
6,True,0.2,True,11,0.65216539032054,"[0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]"
7,False,,True,12,0.6345870338620313,"[0.212, 0.184, 0.127, 0.135, 0.243, 0.15, 0.364, 0.316, 0.133, 0.358, 0.172, 0.173, 0.109, 0.135]"
8,False,,False,,,"[0.317, 0.249, 0.328, 0.213, 0.299, 0.127, 0.25, 0.324, 0.236, 0.221, 0.162, 0.332, 0.185, 0.201]"
9,False,,True,13,0.6256513027292567,"[0.344, 0.301, 0.238, 0.192, 0.151, 0.268, 0.333, 0.187, 0.168, 0.298, 0.159, 0.316, 0.291, 0.232]"
10,False,,True,13,0.6337685393877606,"[0.265, 0.323, 0.263, 0.118, 0.284, 0.252, 0.317, 0.103, 0.126, 0.145, 0.322, 0.165, 0.225, 0.199]"
11,True,0.25,False,,,"[0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25]"
12,True,0.25,False,,,"[0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25]"
13,False,,True,11,0.6725854736218061,"[0.311, 0.326, 0.289, 0.255, 0.276, 0.196, 0.195, 0.13, 0.306, 0.2, 0.243, 0.368, 0.192, 0.199]"
